Product Name,Product Type,Collection,sub_collection,top_notes,middle_notes,base_notes
Honey Oudh,Perfume Oil,Cadence,Warm,Honey & Bergamot,Agarwood (Oud) & Sumatran Patchouli,"Agarwood (Oud), Amber, Leather, Madagascar Vanilla, Labdanum, and Musk."
Royal Tahara,Perfume Oil,Cadence,Warm,Light Florals,Powdery Notes,Musk
Turkish Rose,Perfume Oil,Cadence,Floral,Rose Otto,Damascus Rose,Light Woody Notes
Musk Tahara,Perfume Oil,Cadence,Warm,Floral Musk,"Musk, Powdery, Light Florals",Musk
Red Musk,Perfume Oil,Cadence,Warm,"Nutmeg, Geraniol","Ambrette, Spice","Neem Oil, Myrrh, Patchouli"
Black Musk,Perfume Oil,Cadence,Warm,Ambrette,Plant Resins,Labdanum
Aseel,Perfume Oil,Cadence,Fresh,Fresh and vibrant citrus,,"Rich, woody accords combined with a touch of musk"
Egyptian Musk,Perfume Oil,Cadence,Warm,Light Musk,Florals,Musk
Frankincense & Myrrh,Perfume Oil,Cadence,Warm,Frankincense,"Myrrh, Indian Frankincense",Myrrh Essential Oil
Vanilla Sands,Perfume Oil,Cadence,Warm,Musk,"Vanilla, Caramel","Musk, Woody Notes"
Himalayan Musk,Perfume Oil,Cadence,Warm,Florals,Light Florals,Musk
Sandalwood Rose,Perfume Oil,Cadence,Floral,Rose Otto,Damascus Rose,Sandalwood
Granada Amber,Perfume Oil,Cadence,Warm,Amber,"Vanilla, Amber Liquid","Labdanum, Amber"
Jannatul Firdaus,Perfume Oil,Cadence,Floral,Rose and Lotus,"Jasmine, Geranium","Earthy, Woody, and Herbal Notes"
Kush,Perfume Oil,Cadence,Woody,"Cinnamon, Spices","Incense, Myrrh","Patchouli, Musk Myrrh"
Aged Mysore Sandalwood,Essential Oil,Purity,Woody,Sandalwood (Santalum Album),Sandalwood (Santalum Album),Sandalwood (Santalum Album)
Royal Green Frankincense,Incense & Resins,Sacred Space,Woody,,,
Floral Dew,Perfume Oil,Cadence,Fresh,White Musk,Light Florals,Ylang Ylang
Indonesian Patchouli,Essential Oil,Cadence,Woody,Indian Patchouli,Indian Patchouli,Indian Patchouli
China Rain,Perfume Oil,Cadence,Fresh,"Nectarine, green notes.",,"Clean musk, sandalwood, moss."
Hojari Frankincense & Yemeni Myrrh,Incense & Resins,Sacred Space,Woody,,,
Black Oudh,Perfume Oil,Cadence,Woody,"Bergamot, and Lime","Cedarwood, Rose","Oud, Cedar, and Amber"
Mens Collection 10pcs,Curated Collection,Cadence,Warm / Fresh / Floral / Woody,,,
Womens Collection 10Pcs,Curated Collection,Cadence,Warm / Fresh / Floral / Woody,,,
White Amber,Perfume Oil,Cadence,Warm,Amber,Amber,Amber
Attar Mitti,Attar,Purity,Fresh,,,
Hojari Frankincense Essential Oil,Essential Oil,Cadence,Woody,,,
Gibraltar,Perfume Oil,Cadence,Fresh,"Grapefruit, Lemon, Bergamot & Lime","Juniper Berries, Apple, Pink Pepper","Leather, Vanilla, Benzoin, and Labdanum"
Arabian Jasmine,Perfume Oil,Cadence,Floral,Jasmine,Jasmine,Jasmine
Alhambra,Perfume Oil,Cadence,Warm,Red Saffron and Jasmine,Amberwood & Ambergris,Fir Resin and Cedar
Tuberose,Perfume Oil,Cadence,Floral,Tuberose Flower,Tuberose Flower,Tuberose Flower
Lily Of The Valley,Perfume Oil,Cadence,Floral,Fresh Water Lily,Crisp Green,Light Jasmine
Musk Gazelle,Perfume Oil,Cadence,Warm,,,
Kashmiri Saffron,Attar,Purity,Floral,Saffron,Saffron,Indian Sandalwood
Mukhallat Al-Shifa,Perfume Oil,Cadence,Floral,"Rose, Geranium","Lily, Cedar","Oudh, Amber"
Shamama Alamgiri,Attar,Reserve,Woody / Fresh,"Sweet Amber, Labdanum, Saffron","Herbs, Spices, Patchouli & Oud","Musk, Oakmoss and Sandalwood"
25/6ml -Tarife Attär Chest,Curated Collection,Cadence,Warm / Fresh / Floral / Woody,,,
Regatta,Perfume Oil,Cadence,Fresh,,,
Coconut Jasmine,Perfume Oil,Cadence,Fresh,Jasmine,Jasmine,Coconut
Oudh Aura,Perfume Oil,Cadence,Woody,Oud Assam,Vanilla,Birch Tar
Oudh Lavender,Perfume Oil,Cadence,Floral,,,
Blue Oud Elixir,Perfume Oil,Cadence,Fresh,,,
Oud & Tobacco,Perfume Oil,Cadence,Woody,"Sumac, Citruses, Cumin","Agarwood (Oud), Orange Blossom, Incense","Tobacco, Tonka Bean, Agarwood (Oud)"
Cairo Musk,Perfume Oil,Cadence,Warm,Ambrette,Labdanum & Musk,Woody Notes
Sicilian Oudh,Perfume Oil,Cadence,Woody,"Davana, Italian Bergamot, Pink Pepper,","White Amber, African Rosemary","Oud, Musk, Leather, & Vetiver Haiti"
Teeb Musk,Perfume Oil,Cadence,Warm,Lily,Musk,"Ambroxan, Musk"
Marrakesh,Perfume Oil,Cadence,Warm,,,
Peach Memoir,Perfume Oil,Cadence,Fresh,,,
Del Mare,Perfume Oil,Cadence,Fresh,,,
White Egyptian Musk,Perfume Oil,Cadence,Warm,,,
Taif Rose,Perfume Oil,Cadence,Floral,,,
Mukhallat Emirates,Perfume Oil,Cadence,Woody,"Taif Rose, Saffron","Jasmine, Agarwood (Oud)","Amber, Precious Woods"
Oudh Fire,Perfume Oil,Cadence,Woody,"Bergamot, Pink Pepper",,"Agarwood (Oud), Musk, Vanilla​​​​​​​​​​​​​​​​"